title	artist
Growing Pains	Alessia Cara
Best Life	Cardi B Featuring Chance The Rapper
Trust	Justin Bieber
Hot Shower	Chance The Rapper Featuring MadeinTYO & DaBaby
We Own It (Fast & Furious)	2 Chainz & Wiz Khalifa
She Won’t Be Lonely Long	Clay Walker
I Hold On	Dierks Bentley
Body and Soul	Tony Bennett & Amy Winehouse
You	Jacquees
Waiting For Superman	Daughtry
NUMB	XXXTENTACION
Same Love	Macklemore & Ryan Lewis Featuring Mary Lambert
Cheerleader	OMI
The House That Built Me	Miranda Lambert
7/11	Beyonce
Wavin’ Flag	K'Naan
Yuck!	2 Chainz Featuring Lil Wayne
BAD!	XXXTENTACION
Play It Again	Luke Bryan
U With Me?	Drake
No Hands	Waka Flocka Flame Featuring Roscoe Dash & Wale
Gangnam Style	PSY
One in a Million	Ne-Yo
Marvin’s Room	Drake
Get On Your Knees	Nicki Minaj Featuring Ariana Grande
Centuries	Fall Out Boy
Monster	Paramore
No Stylist	French Montana Featuring Drake
I’m a Mess	Bebe Rexha
Heartbeat	Carrie Underwood
Saint-Tropez	Post Malone
Mirror	Lil Wayne Featuring Bruno Mars
Break My Bank	New Boyz Featuring Iyaz
Only Prettier	Miranda Lambert
Party	Chris Brown Featuring Usher & Gucci Mane
Springsteen	Eric Church
The Way	Ariana Grande Featuring Mac Miller
LUST.	Kendrick Lamar
Broken Halos	Chris Stapleton
Tempo	Chris Brown
This Ain’t No Love Song	Trace Adkins
My Man	Glee Cast
Lie	NF
Blame	Calvin Harris Featuring John Newman
Good as Hell	Lizzo
We Are The World 25 For Haiti	Artists For Haiti
Feds Watching	2 Chainz Featuring Pharrell
Type Of Way	Rich Homie Quan
Sober Saturday Night	Chris Young Featuring Vince Gill
Games	Luke Bryan
FRIENDS	Marshmello & Anne-Marie
One Man Band	Old Dominion
Why Ya Wanna	Jana Kramer
You’re Mine (Eternal)	Mariah Carey
White Liar	Miranda Lambert
All to Myself	Dan + Shay
It Ain’t My Fault	Brothers Osborne
Let It Sing	Kevin Gates
(If You’re Wondering If I Want You to) I Want You To	Weezer
Sorry	Justin Bieber
The Middle	Zedd, Maren Morris & Grey
I Could Use a Love Song	Maren Morris
Call Out My Name	The Weeknd
Hello	Glee Cast Featuring Jonathan Groff
Say Something	Justin Timberlake Featuring Chris Stapleton
For the First Time	The Script
I Am	Mary J. Blige
Take Back the Night	Justin Timberlake
Feelin’ It	Scotty McCreery
More	Usher
Ain’t My Fault	Zara Larsson
Galway Girl	Ed Sheeran
Kiss You	One Direction
10 Freaky Girls	Metro Boomin Featuring 21 Savage
Mercy	Shawn Mendes
Boo’d Up	Ella Mai
What Now	Rihanna
If Heaven Wasn’t So Far Away	Justin Moore
This Is What You Came For	Calvin Harris Featuring Rihanna
Automatic	Miranda Lambert
BROWN SKIN GIRL	Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter
Sweatshirt	Jacob Sartorius
Scholarships	Drake & Future
Celebrate	DJ Khaled Featuring Travis Scott & Post Malone
Money Longer	Lil Uzi Vert
This Is America	Childish Gambino
H.O.L.Y.	Florida Georgia Line
Side Effects	The Chainsmokers Featuring Emily Warren
Soldier of Love	Sade
Photograph	J. Cole
I Will Always Love You	Glee Cast
Shark in the Water	V V Brown
Just Us	DJ Khaled Featuring SZA
Night Shift	Jon Pardi
Patty Cake	Kodak Black
Nothing	The Script
Every Time I Hear That Song	Blake Shelton
Madness	Muse
Hideaway	Kiesza
Face My Fears	Hikaru Utada & Skrillex
If You Only Knew	Shinedown
Moment 4 Life	Nicki Minaj Featuring Drake
I Don’t Want This Night to End	Luke Bryan
Walk Thru	Rich Homie Quan Featuring Problem
Temporary Home	Carrie Underwood
Eastside	benny blanco, Halsey & Khalid
Did It for the Girl	Greg Bates
Let It Rain	David Nail Featuring Sarah Buxton
Mona Lisa	Lil Wayne Featuring Kendrick Lamar
Mine	Taylor Swift
Huntin’, Fishin’ & Lovin’ Every Day	Luke Bryan
No Shopping	French Montana Featuring Drake
Only Human	Jonas Brothers
Bartier Cardi	Cardi B Featuring 21 Savage
Perfume	Britney Spears
Post Malone - rockstar ft. 21 Savage (Türkçe Çeviri)	Post Malone Featuring 21 Savage
Sit Still, Look Pretty	Daya
Sun Daze	Florida Georgia Line
​beibs in the trap	Travis Scott
Bad Habits (Uncut)	Maxwell
Finally Found You	Enrique Iglesias Featuring Sammy Adams
Little White Church	Little Big Town
Wrong Baby Wrong Baby Wrong	Martina McBride
Booty	Blac Youngsta
A Sky Full of Stars	Coldplay
LA CANCIÓN	J Balvin & Bad Bunny
I Luh Ya Papi	Jennifer Lopez Featuring French Montana
Helluva Night	Ludacris
Lose My Mind	Young Jeezy Featuring Plies
NEW MAGIC WAND	Tyler, The Creator
Moves	Big Sean
VIBEZ	DaBaby
Renegades	X Ambassadors
ZEZE	Kodak Black Featuring Travis Scott & Offset
Middle	DJ Snake Featuring Bipolar Sunshine
Remember You	Wiz Khalifa Featuring The Weeknd
No Money	Galantis
Miss Movin’ On	Fifth Harmony
Tongue Tied	Grouplove
Digital Dash	Drake & Future
Troublemaker	Olly Murs Featuring Flo Rida
Honey Bee	Blake Shelton
I’m Comin’ Over	Chris Young
If I Had You	Adam Lambert
Can’t Be Friends	Trey Songz
Deja Vu	Post Malone Featuring Justin Bieber
Sippin’ on Fire	Florida Georgia Line
I Will Wait	Mumford & Sons
History	One Direction
Love Somebody	Maroon 5
TiK ToK	Ke$ha
​can’t leave without it	21 Savage
Fall For Your Type	Jamie Foxx Featuring Drake
All Eyes on You	Meek Mill Featuring Chris Brown & Nicki Minaj
Jar of Hearts	Christina Perri
Hallelujah	Pentatonix
Last Hurrah	Bebe Rexha
Cruise (Remix)	Florida Georgia Line Featuring Nelly
Stay	Rihanna Featuring Mikky Ekko
It Don’t Hurt Like It Used To	Billy Currington
Numb	Usher
One Foot	WALK THE MOON
Beautiful People	Chris Brown Featuring Benny Benassi
Super Bass	Nicki Minaj
Regret In Your Tears	Nicki Minaj
Startender	A Boogie Wit da Hoodie Featuring Offset & Tyga
Stuck Like Glue	Sugarland
2018 haywoodindahood Listening Log	Christopher Wilde & Anna Margaret
Praying	Kesha
Black Rain	Soundgarden
Let Her Go	Passenger
The Edge of Glory	Lady Gaga
Moonlight	XXXTENTACION
Promise	Romeo Santos Featuring Usher
Sure Thing	Miguel
Sleeping with a Friend	Neon Trees
Juice	Lizzo
Ayo	Chris Brown & Tyga
Drive By	Train
Chanel (Go Get It)	Young Thug Featuring Gunna & Lil Baby
I Got You	Thompson Square
Hood Go Crazy	Tech N9Ne Featuring 2 Chainz & B.o.B
That’s What I Like	Bruno Mars
Love Me Like You Mean It	Kelsea Ballerini
Somebody	Bridgit Mendler
No	Meghan Trainor
Begin Again	Taylor Swift
Whispers in the Dark	Mumford & Sons
Bully	Shinedown
For The First Time	Darius Rucker
In Your Arms	Nico & Vinz
Sorry	Beyonce
Pound the Alarm	Nicki Minaj
Bad Romance	Glee Cast
From The Ground Up	Dan + Shay
Let Me Love You	DJ Snake Featuring Justin Bieber
Mama’s Song	Carrie Underwood
Mary Did You Know	Jordan Smith
Gonna Know We Were Here	Jason Aldean
Confident	Demi Lovato
Better Than I Used To Be	Tim McGraw
We Run the Night (RedOne Remix)	Havana Brown Featuring Pitbull
Dessert	Dawin
King Kunta	Kendrick Lamar
Blurred Lines	Robin Thicke Featuring T.I. + Pharrell
Take Back Home Girl	Chris Lane Featuring Tori Kelly
Maybe	Sick Puppies
The Box	Roddy Ricch
One Day	Matisyahu
Yellow Flicker Beat	Lorde
Don’t Judge Me	Chris Brown
When I Was Your Man	Bruno Mars
The Walker	Fitz And The Tantrums
Lay It Down	Lloyd
Make Me...	Britney Spears Featuring G-Eazy
American Country Love Song	Jake Owen
Sexy and I Know It	LMFAO
Drew Barrymore	Bryce Vine
Home	Machine Gun Kelly, X Ambassadors & Bebe Rexha
No Such Thing as a Broken Heart	Old Dominion
On My Level	Wiz Khalifa Featuring Too $hort
Marry Me	Thomas Rhett
Wanted	Hunter Hayes
Ordinary Girl	Hannah Montana
Season 2 Episode 2: “Sexual Harassment”	Michael Jackson Duet With Akon
Drummer Boy	Justin Bieber Featuring Busta Rhymes
PILLOWTALK	Zayn
Please Me	Cardi B & Bruno Mars
All Gold Everything	Trinidad James
I Really Like You	Carly Rae Jepsen
The Adventures of Rain Dance Maggie	Red Hot Chili Peppers
​Oui	Jeremih
Jump Right In	Zac Brown Band
Backin’ It Up	Pardison Fontaine Featuring Cardi B
Believer	Imagine Dragons
Worth It	YK Osiris
When I’m Gone	Wiz Khalifa
Scars to Your Beautiful	Alessia Cara
Bang Bang	Jessie J, Ariana Grande & Nicki Minaj
As Long As You Love Me	Justin Bieber Featuring Big Sean
Once an Addict (Interlude)	J. Cole
Timeless	A Boogie Wit da Hoodie Featuring DJ SPINKING
Let It Go	Idina Menzel
Let’s Go Crazy	Prince And The Revolution
What About Us	P!nk
2018 haywoodindahood Listening Log	Gucci Mane X Bruno Mars X Kodak Black
What If I Never Get Over You	Lady Antebellum
Judas	Lady Gaga
Stereo Hearts	Gym Class Heroes Featuring Adam Levine
Wildfire	John Mayer
Rock	Plies
Carter Son	YoungBoy Never Broke Again
This Town	Niall Horan
Here’s to Never Growing Up	Avril Lavigne
The Night We Met	Lord Huron
Home Alone Tonight	Luke Bryan Featuring Karen Fairchild
Hot Boy	Bobby Shmurda
Body Party	Ciara
Motivation	Normani
(Kissed You) Goodnight	Gloriana
Good Good Night	Roscoe Dash
SLOW DANCING IN THE DARK	Joji
F.N	Lil Tjay
Twerk	City Girls Featuring Cardi B
It Will Rain	Bruno Mars
Small Town Throwdown	Brantley Gilbert Featuring Justin Moore & Thomas Rhett
Boyfriend	Ariana Grande & Social House
Hold Up	Beyonce
Fix a Drink	Chris Janson
​the light is coming	Ariana Grande Featuring Nicki Minaj
Bounce Back	Big Sean
Bad Romance	Lady Gaga
I’ll Show You	Justin Bieber
Forget You	Glee Cast Featuring Gwyneth Paltrow
Everybody’s Got Somebody But Me (Encore)	Hunter Hayes Featuring Jason Mraz
Locked Away	R. City Featuring Adam Levine
Wish I Didn’t Love You	Chloe Kohanski
Up All Night	Blink-182
Back Up	DeJ Loaf Featuring Big Sean
Rack City	Tyga
All Time Low	Jon Bellion
Post Malone - Goodbyes ft. Young Thug (Traducción al Español)	Post Malone Featuring Young Thug
Rap Saved Me	21 Savage, Offset & Metro Boomin Featuring Quavo
Perfect	Ed Sheeran
Señorita	Shawn Mendes & Camila Cabello
Burn the House Down	AJR
Nonstop	Drake
Wasted Love	Matt McAndrew
KOODA	6ix9ine
Foreign	Trey Songz
​lovely	Billie Eilish & Khalid
River Bank	Brad Paisley
Ain’t Worried About Nothin’	French Montana
Bugatti	Ace Hood Featuring Future & Rick Ross
Kiss it Better	Rihanna
Radio	Darius Rucker
Can’t Help Falling in Love (The Voice Performance)	Christina Grimmie
Chillin’ It	Cole Swindell
Neighbors	J. Cole
Hide Away	Daya
Home	One Direction
I Wanna Make You Close Your Eyes	Dierks Bentley
No Problem	Chance The Rapper Featuring Lil Wayne & 2 Chainz
Beautiful Drug	Zac Brown Band
Blown Away	Carrie Underwood
Mask Off	Future
Blinding Lights	The Weeknd
American Girl	Bonnie McKee
Can’t Raise A Man	K. Michelle
If This Was a Movie	Taylor Swift
Heartache On The Dance Floor	Jon Pardi
Ho Hey	The Lumineers
Narcos	Migos
O Let’s Do It	Waka Flocka Flame
Take it Off	Ke$ha
2 Phones	Kevin Gates
​everytime	Ariana Grande
PUPPET	Tyler, The Creator
Not Afraid Anymore	Halsey
Buzzin’	Mann
Born to Be Yours	Kygo & Imagine Dragons
Hotline Bling	Drake
Redbone	Childish Gambino
Flatliner	Cole Swindell
Reality	Kenny Chesney
Enemies	Post Malone Featuring DaBaby
Meet Me Halfway	The Black Eyed Peas
Think Like a Man	Jennifer Hudson & Ne-Yo Featuring Rick Ross
Eight Second Ride	Jake Owen
BEST ON EARTH	Russ & BIA
Guys My Age	Hey Violet
Noise	Kenny Chesney
​pete davidson	Ariana Grande
Down	Fifth Harmony Featuring Gucci Mane
Make You Miss Me	Sam Hunt
R.I.C.O.	Meek Mill Featuring Drake
Boom Clap	Charli XCX
Way Down We Go	KALEO
DUCKWORTH.	Kendrick Lamar
Country Girl (Shake It for Me)	Luke Bryan
Dare (La La La)	Shakira
Paranoid (B.o.B Remix)	Ty Dolla $ign Featuring B.o.B
The Trouble with Girls	Scotty McCreery
Fine China	Chris Brown
6 Foot 7 Foot	Lil Wayne Featuring Cory Gunz
Do It Like Me	DLOW
Safe & Sound	Taylor Swift Featuring The Civil Wars
The Breath You Take	George Strait
Collard Greens	ScHoolboy Q Featuring Kendrick Lamar
Smoke	A Thousand Horses
Heavy	Linkin Park Featuring Kiiara
Most Girls	Hailee Steinfeld
Really Really	Kevin Gates
Freaky Friday	Lil Dicky Featuring Chris Brown
In Case You Didn’t Know	Brett Young
Something in the Water	Carrie Underwood
Beggin’ On Your Knees	Victorious Cast Featuring Victoria Justice
Need You Now	Lady Antebellum
Here For A Good Time	George Strait
Girl Crush	Little Big Town
Wanted You More	Lady Antebellum
Afire Love	Ed Sheeran
10 Bands	Drake
Scream	Usher
Post Malone - On the Road ft. Lil Baby & Meek Mill  (Traducción al Español)	Post Malone Featuring Meek Mill & Lil Baby
Break Free	Ariana Grande Featuring Zedd
Cornelia Street	Taylor Swift
Let It Go	James Bay
Police Dog Blues	Hugh Laurie
El Cerrito Place	Kenny Chesney
Cool Kids	Echosmith
Stupid Hoe	Nicki Minaj
Wasted Time	Keith Urban
Live A Little	Kenny Chesney
Hear Me Calling	Juice WRLD
Fall Down	will.i.am Featuring Miley Cyrus
​goodnight n go	Ariana Grande
Leave Me Alone	Flipp Dinero
Habits (Stay High)	Tove Lo
KEKE	6ix9ine, Fetty Wap & A Boogie Wit da Hoodie
Girls Chase Boys	Ingrid Michaelson
Location	Khalid
No Complaints	Metro Boomin Featuring Offset & Drake
Paris	The Chainsmokers
Homegrown Honey	Darius Rucker
Hollow	Tori Kelly
LUV	Tory Lanez
Sorry Not Sorry	Bryson Tiller
You Make Me Feel	Cobra Starship Featuring Sabi
A Guy Walks into a Bar	Tyler Farr
Love So Soft	Kelly Clarkson
Jump Out the Face	Meek Mill Featuring Future
Stunting Ain’t Nuthin	Gucci Mane Featuring Slim Jxmmi & Young Dolph
Craving You	Thomas Rhett Featuring Maren Morris
Smile (Living My Best Life)	Lil' Duval Featuring Snoop Dogg & Ball Greezy
Fly Over States	Jason Aldean
Tonight (Best You Ever Had)	John Legend Featuring Ludacris
Right Thru Me	Nicki Minaj
Kill This Love	BLACKPINK
Don’t Wake Me Up	Chris Brown
Beauty and a Beat	Justin Bieber Featuring Nicki Minaj
Famous	Kanye West
Geronimo	Sheppard
Just Can’t Get Enough	The Black Eyed Peas
Good As You	Kane Brown
Give It All We Got Tonight	George Strait
For Her	Chris Lane
Explosions	Ellie Goulding
Loving You No More	Diddy - Dirty Money Featuring Drake
Let It Go	Demi Lovato
Wasted	Juice WRLD Featuring Lil Uzi Vert
Never Stop	Future
Motiv8	J. Cole
She Don’t Love You	Eric Paslay
B.E.D.	Jacquees
Death of a Bachelor	Panic! At The Disco
Love’s Gonna Make It Alright	George Strait
Powerglide	Rae Sremmurd & Juicy J
Cruel Summer	Taylor Swift
Same Old Love	Selena Gomez
Blessings	Big Sean Featuring Drake
Soltera (Remix)	Lunay, Daddy Yankee & Bad Bunny
9	Drake
Break Your Heart (Remix)	Taio Cruz Featuring Ludacris
Focus	Ariana Grande
Ride	SoMo
The Sound of Silence	Disturbed
My Homies Still	Lil Wayne Featuring Big Sean
’Til Summer Comes Around	Keith Urban
You Make Me	Avicii
Drink In My Hand	Eric Church
Rolling in the Deep	Adele
Neutron Star Collision (Love Is Forever)	Muse
BO$$	Fifth Harmony
YOUTH	Troye Sivan
Take Me to Church	Hozier
Knockout	Lil Wayne Featuring Nicki Minaj
You Look Good	Lady Antebellum
Lover	Taylor Swift
American Kids	Kenny Chesney
Antisocial	Ed Sheeran & Travis Scott
Get Ugly	Jason Derulo
Dynamite	Taio Cruz
Can’t Take a Joke	Drake
God’s Country	Blake Shelton
Magnolia	Playboi Carti
Jumpsuit	twenty one pilots
Chun-Li	Nicki Minaj
Gangsta Luv	Snoop Dogg Featuring The-Dream
Watermelon Sugar	Harry Styles
Gucci Gucci	Kreayshawn
ELEMENT.	Kendrick Lamar
Good Life	G-Eazy & Kehlani
Five More Minutes	Scotty McCreery
The Greatest	Sia Featuring Kendrick Lamar
How Far I’ll Go	Alessia Cara
Empire	Shakira
You and Your Friends	Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign
I Gotta Feeling	The Black Eyed Peas
Ours	Taylor Swift
2012 (It Ain’t the End)	Jay Sean Featuring Nicki Minaj
Hold On	Alabama Shakes
Fly	Maddie & Tae
The Lazy Song	Bruno Mars
Midnight City	M83.
Drowning	A Boogie Wit da Hoodie Featuring Kodak Black
I Do	Cardi B Featuring SZA
Animal	Neon Trees
Space Cadet	Metro Boomin Featuring Gunna
Cold One	Eric Church
2018 haywoodindahood Listening Log	Band Aid 30
Am I Wrong	Nico & Vinz
Sweet Dreams	Beyonce
Undo It	Carrie Underwood
Evacuate the Dancefloor	Cascada
Hate Me	Trippie Redd Featuring YoungBoy Never Broke Again
Up All Night	Drake Featuring Nicki Minaj
Daylight	Taylor Swift
This Is What It Feels Like	Armin van Buuren Featuring Trevor Guthrie
Drunk Me	Mitchell Tenpenny
Feel So Close	Calvin Harris
Heat	Chris Brown Featuring Gunna
Girl in a Country Song	Maddie & Tae
4:44	JAY-Z
She Looks So Perfect	5 Seconds Of Summer
Raise Your Glass	P!nk
Call It What You Want	Taylor Swift
Born to Be Somebody	Justin Bieber
Prisoner	The Weeknd Featuring Lana Del Rey
Shake Me Down	Cage The Elephant
Wish Wish	DJ Khaled Featuring Cardi B & 21 Savage
Live Like We’re Dying	Kris Allen
Little Miss	Sugarland
Apparently	J. Cole
#SELFIE	The Chainsmokers
Nobody Else But You	Trey Songz
Baggage Claim	Miranda Lambert
Don’t	Ed Sheeran
Battle Scars	Lupe Fiasco & Guy Sebastian
Heaven	Kane Brown
One More Drinkin’ Song	Jerrod Niemann
If I Lose Myself	OneRepublic
Don’t Let Me Down	The Chainsmokers Featuring Daya
Hold My Hand	Jess Glynne
Jumpin on a Jet	Future
Legend	Drake
Stuck On a Feeling	Prince Royce Featuring Snoop Dogg
Give Me Everything	Pitbull Featuring Ne-Yo, Afrojack & Nayer
Odio	Romeo Santos Featuring Drake
Today	Brad Paisley
Trampoline	SHAED
Peek a Boo	Lil Yachty Featuring Migos
RGF Island	Fetty Wap
See No More	Joe Jonas
Ain’t It Fun	Paramore
Look What You Made Me Do	Taylor Swift
Amnesia	5 Seconds Of Summer
Try	P!nk
Glass	Thompson Square
Drunk On Your Love	Brett Eldredge
DJ Khaled - I’m The One ft. Justin Bieber, Chance The Rapper, Quavo & Lil Wayne (Tradução em Português)	DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne
Marry the Night	Lady Gaga
Diamond Teeth Samurai	YoungBoy Never Broke Again
Believe	Mumford & Sons
Drunk Girl	Chris Janson
Red Nose	Sage The Gemini
Can’t Sleep Love	Pentatonix
Right Above It	Lil Wayne Featuring Drake
Legends	Juice WRLD
Good Time	Owl City & Carly Rae Jepsen
Thinking About You	Calvin Harris Featuring Ayah Marar
Roses	benny blanco & Juice WRLD Featuring Brendon Urie
Filthy	Justin Timberlake
I’m Into You	Jennifer Lopez Featuring Lil Wayne
Fallin’ for You	Colbie Caillat
Til It’s Gone	Kenny Chesney
Lean On	Major Lazer & DJ Snake Featuring MO
JuJu On That Beat (TZ Anthem)	Zay Hilfigerrr & Zayion McCall
Touchin’ On My	3OH!3
London Boy	Taylor Swift
My Church	Maren Morris
Payphone	Maroon 5 Featuring Wiz Khalifa
Can’t Shake You	Gloriana
Hands To Myself	Selena Gomez
Done for Me	Charlie Puth Featuring Kehlani
Down in the DM (Remix)	Yo Gotti Featuring Nicki Minaj
Adore You	Harry Styles
Glitter in the Air	P!nk
We Are	Justin Bieber Featuring Nas
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift
Doin’ What She Likes	Blake Shelton
All Around the World	Justin Bieber Featuring Ludacris
Tell Your Friends	The Weeknd
No Favors	Big Sean Featuring Eminem
When It Rains It Pours	Luke Combs
Work Hard, Play Hard	Wiz Khalifa
Cecilia and the Satellite	Andrew McMahon In The Wilderness
I Took a Pill in Ibiza	Mike Posner
SING	My Chemical Romance
A Little Party Never Killed Nobody (All We Got)	Fergie, Q-Tip & GoonRock
Try Everything	Shakira
BLOOD.	Kendrick Lamar
Came Here to Forget	Blake Shelton
Secrets	OneRepublic
TTYLXOX	Bella Thorne
Sex Ain’t Better Than Love	Trey Songz
Reply	A Boogie Wit da Hoodie Featuring Lil Uzi Vert
Wild Ones	Flo Rida Featuring Sia
Don’t Wanna Know	Maroon 5 Featuring Kendrick Lamar
Crazy Girl	Eli Young Band
4 AM	2 Chainz Featuring Travis Scott
A BOY IS A GUN*	Tyler, The Creator
Speak Now	Taylor Swift
Part of Me	Katy Perry
Me and My Broken Heart	Rixton
Starships	Nicki Minaj
CLOSE	Rae Sremmurd & Travis Scott
Today Was a Fairytale	Taylor Swift
Blank Space	Taylor Swift
In the Dark	Dev
Undrunk	FLETCHER
Side To Side	Ariana Grande Featuring Nicki Minaj
Tonight Looks Good on You	Jason Aldean
Tom Ford	JAY-Z
Cashin Out	Ca$h Out
Drink a Beer	Luke Bryan
Camila Cabello Talks Solo Music, Life After Fifth Harmony	Machine Gun Kelly x Camila Cabello
Juice	Yo Gotti
Shout Out to My Ex	Little Mix
Day Drinking	Little Big Town
Sparks Fly	Taylor Swift
Lose My Mind	Brett Eldredge
Goodbye Town	Lady Antebellum
Tomorrow	Chris Young
Kill Em With Kindness	Selena Gomez
Yikes	Kanye West
Homegrown	Zac Brown Band
A Year Without Rain	Selena Gomez & The Scene
Don’t Wanna Go Home	Jason Derulo
Southern Voice	Tim McGraw
Poker Face	Glee Cast
Havana	Camila Cabello Featuring Young Thug
Pirate Flag	Kenny Chesney
This Afternoon	Nickelback
Gonna Get This	Hannah Montana Featuring Iyaz
Sunny and 75	Joe Nichols
Lush Life	Zara Larsson
Boyfriend	Big Time Rush
Best Part	Daniel Caesar Featuring H.E.R.
Turn Up the Music	Chris Brown
Felices los 4	Maluma
High Hopes	Panic! At The Disco
Red	Taylor Swift
Baby by Me	50 Cent Featuring Ne-Yo
All Over Me	Josh Turner
Fairly Local	twenty one pilots
Come Get Her	Rae Sremmurd
It’s Nice to Have a Friend	Taylor Swift
Talk You Out of It	Florida Georgia Line
Drunk on a Plane	Dierks Bentley
Afterglow	Taylor Swift
I Won’t Let Go	Rascal Flatts
You And Tequila	Kenny Chesney Featuring Grace Potter
Female	Keith Urban
The End	Kings Of Leon
Without You	David Guetta Featuring Usher
​needy	Ariana Grande
You Look Like I Need a Drink	Justin Moore
All Kinds Of Kinds	Miranda Lambert
Faucet Failure	Ski Mask The Slump God
Talladega	Eric Church
Animals	Martin Garrix
House Party	Sam Hunt
Hey Daddy (Daddy’s Home) (Remix)	Usher Featuring Plies
Let Me Down Easy	Billy Currington
I Invented Sex	Trey Songz Featuring Drake
Sauce It Up	Lil Uzi Vert
We Dem Boyz	Wiz Khalifa
Gas Pedal	Sage The Gemini Featuring IamSu!
Perplexing Pegasus	Rae Sremmurd
Run the World (Girls)	Beyonce
Malibu	Miley Cyrus
Singing in the Rain / Umbrella	Glee Cast Featuring Gwyneth Paltrow
Waiting for the End	Linkin Park
Heart Attack	Demi Lovato
The A Team	Ed Sheeran
Desperate Man	Eric Church
Candy	Doja Cat
Don’t Let Me Be Lonely	The Band Perry
The Outsiders	Eric Church
Zombie	Bad Wolves
A Lie	French Montana Featuring The Weeknd & Max B
My Way	Calvin Harris
Top Off	DJ Khaled Featuring JAY Z, Future & B
Gangsta	Kehlani
What Kind of Man	Florence + The Machine
Finding My Way Back	Jaheim
Antidote	Travis Scott
Transportin’	Kodak Black
CAN’T STOP THE FEELING!	Justin Timberlake
Call the Coroner	Future
All I Ask	Adele
My Way	Fetty Wap Featuring Monty
